Bx(nT),By(nT),Bz(nT),Sampling frequency (Hz)
8834.89,2691.97,57777.95,
8836.5,2692.7,57778.07,
8838.99,2695.29,57780.49,
8831.12,2684.82,57770.5,
8839.45,2695.37,57780.38,
8835.29,2690.29,57775.63,
8837.53,2692.36,57777.31,
8836.23,2693.17,57778.54,
8829.37,2682.89,57768.38,
8835.65,2690.42,57775.66,
8837.3,2692.03,57776.92,
8833.87,2690.48,57776.17,
8833.35,2687.95,57773.15,
8835.3,2690.11,57775.09,
8834.1,2688.96,57774.06,
8831.8,2685.9,57771.27,
8832.21,2687.4,57772.76,
8834.25,2689.7,57774.99,
8837.34,2693.15,57778,
8834.93,2690.99,57775.93,
8835.19,2688.6,57773.18,
8834.58,2689.23,57774.16,
8839.08,2694.75,57779.38,
8840.26,2696.58,57781.1,
8840.48,2697.27,57781.88,
8836.96,2692.09,57776.76,
8837.58,2693.11,57777.72,
8836.05,2691.09,57775.64,
8840.08,2694.51,57778.86,
8836.84,2691.46,57775.85,
8836.92,2693.18,57777.97,
8839.04,2694.93,57779.5,
8834.73,2687.58,57772.04,
8835.02,2688.18,57772.9,
8832.06,2685.04,57769.96,
8834.41,2688.02,57772.77,
8833.84,2686.54,57771.13,
8837.99,2692.67,57777.09,
8842.24,2695.93,57779.86,
8837.32,2691.66,57776.22,
8838.04,2691.75,57776.14,
8840.78,2695.19,57779.5,
8844.1,2699.36,57783.65,
8838.91,2691.85,57776.25,
8837.45,2689.66,57774.07,
8836.37,2688.71,57773.51,
8842.33,2696.92,57781.25,
8838.69,2691.44,57775.86,
8842.67,2695.24,57779.28,
8836.76,2690.19,57775.05,
8840.72,2694.38,57778.88,
8836.07,2689.05,57773.85,
8837.34,2690.32,57775.28,
8842.97,2697.26,57781.63,
8841.1,2695.6,57780.41,
8843.24,2696.88,57781.13,
8841.07,2695.01,57779.54,
8837.65,2690.22,57775.1,
8836.09,2689.52,57774.57,
8840.84,2694.32,57778.9,
8839.46,2692.49,57777.18,
8837.13,2690.11,57775.15,
8842.79,2695.68,57780.03,
8840.09,2692.53,57777.02,
8838.8,2691.02,57775.68,
8838.24,2690.57,57775.21,
8839.17,2691.15,57775.8,
8840.62,2694.1,57778.56,
8838.86,2690.79,57775.38,
8844.13,2699.37,57783.86,
8841.21,2694.09,57778.4,
8839.75,2692.47,57777.17,
8838.62,2690.76,57775.15,
8840.19,2692.91,57777.26,
8841.74,2696.41,57781.02,
8842.59,2695.9,57779.97,
8840.45,2693.98,57778.16,
8840.18,2692.86,57777.13,
8839.16,2690.67,57775,
8841.75,2695.66,57779.68,
8838.43,2691.83,57776.18,
8840.27,2693.42,57777.57,
8838.64,2691.24,57775.46,
8836.4,2689.23,57773.94,
8847.07,2700.28,57783.84,
8840.53,2693.67,57777.84,
8842.31,2695.52,57779.18,
8839.99,2693.93,57778.05,
8839.13,2692.33,57776.3,
8838.68,2690.68,57774.8,
8841.15,2693.71,57777.46,
8837.45,2688.83,57772.84,
8838.42,2690.7,57774.8,
8835.65,2688.07,57772.46,
8843.73,2696.03,57779.45,
8839.16,2690.65,57774.38,
8842.1,2695.9,57779.69,
8839.53,2694.21,57778.29,
8841.31,2694.85,57778.9,
8845.89,2700.23,57783.78,
8839.99,2694.27,57778.34,
8842.16,2697.37,57781.39,
8841.67,2696.22,57780.03,
8841.63,2696.25,57779.99,
8841.33,2694.31,57777.94,
8836.44,2688.9,57772.85,
8840.59,2693.9,57777.66,
8837.85,2690.47,57774.27,
8841.88,2696.96,57780.68,
8835.54,2689.78,57773.98,
8837.65,2691.12,57775.08,
8843.16,2696.57,57779.8,
8839.66,2693.02,57776.7,
8839.28,2694.7,57778.35,
8840.14,2694.76,57778.29,
8840.97,2695.49,57778.86,
8839.14,2693.3,57776.77,
8840.72,2694.56,57777.77,
8840.28,2694.04,57777.39,
8843.88,2699.45,57782.48,
8836.39,2689,57772.39,
8841.71,2696.19,57779.45,
8840.24,2695.65,57778.92,
8842.65,2697.36,57780.28,
